Tempo;SOBRADINHO;ITAPARICA;MOXOTO;P. AFONSO 4;EMBORCAÇÃO;CORUMBA;ITUMBIARA;C. DOURADA;SÃO SIMÃO;BOA ESPERANÇA;TUCURUI;SERRA DA MESA;LAJEADO;ESTREITO;MARIMBONDO;AGUA VERMELHA;PORTO COLOMBIA;VOLTA GRANDE;FURNAS;SANTO ANTONIO;JIRAU;SAMUEL;BALBINA;JUPIÁ;PORTO PRIMAVERA;ILHA SOLTEIRA;ITAIPU;BARRA GRANDE;ITÁ;CAMPOS NOVOS;MACHADINHO;FOZ CHAPECO;G. B. MUNHOZ (FOZ DO AREIA);SALTO CAXIAS;SALTO OSORIO;SALTO SANTIAGO;SEGREDO
01/10/2017;315;499;503;492;117;162;1138;1411;1541;142;1226;105;436;805;991;1310;883;952;243;4141;4256;37;370;5223;6182;3687;10953;264;922;174;595;1246;696;1650;859;1027;775
01/11/2017;532;477;498;493;199;196;1016;956;1405;237;2251;230;710;1206;1221;1285;859;857;382;8859;8847;155;402;3862;5093;3233;12098;129;784;212;473;1238;840;2043;1046;1375;1012
01/12/2017;1339;571;510;503;372;334;1114;946;2019;360;6047;787;1635;2728;1333;1380;915;782;560;16463;16159;421;474;5298;6589;3599;13139;146;385;128;278;512;404;1451;1103;1035;839
01/01/2018;1115;516;711;504;250;300;1102;656;1896;341;8947;527;1224;2525;1596;1752;896;677;872;30169;28551;680;514;5109;6955;3679;16810;316;722;404;617;1029;1094;1523;916;1300;961
01/02/2018;1572;687;689;514;275;367;936;531;1726;608;21826;995;3772;6745;1256;1201;685;562;597;36882;34147;1003;462;4896;6425;3739;12563;85;608;203;467;829;682;1473;1166;1174;1050
01/03/2018;1778;568;710;564;387;445;1131;749;2032;810;24481;951;3120;7237;1388;1465;899;737;720;39257;35776;881;285;5334;6675;3972;13639;114;627;172;427;776;550;1491;1044;898;797
01/04/2018;1279;632;636;512;211;458;941;404;1446;683;25367;696;2602;6370;745;1289;499;394;313;36296;33380;922;940;4664;5754;3226;11007;84;536;169;374;801;469;1128;820;822;696
01/05/2018;505;554;645;561;144;223;623;411;1057;306;10701;296;772;1902;610;975;381;325;221;27796;25834;400;1062;4272;5011;3239;8805;70;348;73;226;424;154;1052;893;601;526
01/06/2018;431;593;549;568;122;174;576;893;1360;240;4331;187;654;1352;609;1117;390;333;214;19439;18757;152;807;4351;5057;3194;8180;284;381;84;343;524;234;833;699;488;406
01/07/2018;400;613;541;560;229;205;642;1754;2134;207;2499;121;515;1069;885;1272;742;753;158;10101;9444;55;644;4128;4802;3579;7654;391;597;201;580;815;231;902;750;640;570
01/08/2018;385;594;553;562;257;173;710;1338;1701;187;1744;80;543;983;769;1101;636;663;206;6279;6121;94;324;5305;5964;3580;9045;275;782;144;644;870;161;733;630;484;416
01/09/2018;341;600;511;556;187;149;920;1061;1439;174;1759;68;741;1157;739;1056;627;635;174;4649;4475;44;270;4102;5058;3407;8584;539;1454;581;1141;1803;475;1088;740;722;611
01/10/2018;393;637;503;596;223;187;863;1320;1920;218;2242;172;1034;1689;1077;1042;783;815;454;5507;5506;59;161;4810;6039;3414;11745;321;1548;372;958;2215;1466;1563;851;1172;985
01/11/2018;943;639;498;548;497;392;1091;896;2040;240;3973;498;1398;2264;1370;1353;959;887;824;13206;13380;256;342;5526;6466;3778;11525;305;1275;307;864;1660;623;1396;988;1353;1220
01/12/2018;1909;709;510;599;437;356;1071;598;1548;412;9220;754;1333;3072;1126;1391;757;696;924;25207;24842;717;624;5180;6128;3810;9674;193;848;204;697;1182;277;1088;916;723;643
